Load Index,Load Name,Load VID
1,Island Pendants,252
2,E Entry Recessed,344
3,Middle E Recessed,345
4,Middle W Recessed,346
5,NW Recessed,347
6,NE Recessed,348
7,Millwork LEDs,361
8,Millwork Recessed,397
9,Middle W Recessed,349
10,Middle NE Recessed,350
11,Middle SE Recessed,351
12,N Middle Recessed,352
13,Under Stairs Recessed,353
14,NE+NW Recessed,354
15,Middle Couch Recessed,355
16,Pendants,249
17,W Recessed,340
18,Middle Recessed,341
19,NE Recessed,342
20,SE Recessed,343
21,Pendants,250
22,Recessed,251
23,Lamps,262
24,N Recessed,272
25,Middle N Recessed,336
26,Middle S Recessed,337
27,S Recessed,338
28,Middle E Recessed,339
29,Recessed,255
30,Lights+Pendant,258
31,Stairs Recessed,365
32,Hall Recessed,366
33,S Recessed,368
34,N Recessed,369
35,Wall Sconces,256
36,Entry Recessed,370
37,E Recessed,372
38,Tub+Shower Recessed,373
39,Toilet Recessed,374
40,Recessed,367
41,Mirror LEDs,412
42,Patio Soffit,253
43,Mudroom Soffit,254
44,Garage Sconces,257
45,Mudroom Sconces,259
46,Kitchen+Living Sconces,260
47,Sunroom Sconce,261
48,Balcony,263
49,Cedar Tree Plug,264
